,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
popularity,1.0,-0.00712919982976786,0.035443545961346475,0.0010531126538152716,-0.0038469873002553363,0.05042041812426425,-0.013948367242906863,-0.044929983142269536,-0.025458057255118086,-0.09514665337271311,-0.005396753083609591,-0.04052176220204289,0.013211888443029934,0.031075967793415274
duration_ms,-0.00712919982976786,1.0,-0.07343480995635031,0.05851962404139745,0.00812315893233648,-0.003474686813204123,-0.03558140629199677,-0.0626053464550488,-0.10376973545036677,0.12436393777162782,0.010307959992045125,-0.15446366199071593,0.02435622061990152,0.01822911921317496
danceability,0.035443545961346475,-0.07343480995635031,1.0,0.13432482790211503,0.03647040820749166,0.25907616706078196,-0.06922424421606861,0.10862542327183976,-0.1715306446146733,-0.1856081974058384,-0.13161967261493335,0.4773469754331838,-0.05044816605877675,0.20721902810732595
energy,0.0010531126538152716,0.05851962404139745,0.13432482790211503,1.0,0.0480066423341403,0.7616898441659528,-0.07836515946353902,0.1425084689978585,-0.7339082934928766,-0.18188044702933645,0.18479451208517086,0.2589372393342886,0.2478519907462884,0.18712661152663912
key,-0.0038469873002553363,0.00812315893233648,0.03647040820749166,0.0480066423341403,1.0,0.03859111148469575,-0.13591149835037655,0.020418643358739465,-0.04094204095670593,-0.006820866651211296,-0.001597001632485173,0.0340991609826893,0.010914386470065358,0.01506405502742526
loudness,0.05042041812426425,-0.003474686813204123,0.25907616706078196,0.7616898441659528,0.03859111148469575,1.0,-0.04176755071619945,0.06082587874383857,-0.5898037428970132,-0.43347845859392076,0.07689733278564466,0.27985128595222375,0.21244735832885536,0.19199242221500684
mode,-0.013948367242906863,-0.03558140629199677,-0.06922424421606861,-0.07836515946353902,-0.13591149835037655,-0.04176755071619945,1.0,-0.046534743917601824,0.09556763064986246,-0.04996076118178215,0.01400384684900778,0.021964454390540764,0.0005718670406741842,-0.024089879252211007
speechiness,-0.044929983142269536,-0.0626053464550488,0.10862542327183976,0.1425084689978585,0.020418643358739465,0.06082587874383857,-0.046534743917601824,1.0,-0.0021840881889326653,-0.08961686470719345,0.20521812166201528,0.03663676175302312,0.0172743352404111,-1.0676654784900517e-05
acousticness,-0.025458057255118086,-0.10376973545036677,-0.1715306446146733,-0.7339082934928766,-0.04094204095670593,-0.5898037428970132,0.09556763064986246,-0.0021840881889326653,1.0,0.10403267169571552,-0.020693307609652264,-0.10708117009580513,-0.2082309388837001,-0.1761415032197091
instrumentalness,-0.09514665337271311,0.12436393777162782,-0.1856081974058384,-0.18188044702933645,-0.006820866651211296,-0.43347845859392076,-0.04996076118178215,-0.08961686470719345,0.10403267169571552,1.0,-0.07989599669207154,-0.3243097806369768,-0.050328184188697146,-0.0825795343381348
liveness,-0.005396753083609591,0.010307959992045125,-0.13161967261493335,0.18479451208517086,-0.001597001632485173,0.07689733278564466,0.01400384684900778,0.20521812166201528,-0.020693307609652264,-0.07989599669207154,1.0,0.019092798040296344,0.0006032361179092793,-0.02364920069108755
valence,-0.04052176220204289,-0.15446366199071593,0.4773469754331838,0.2589372393342886,0.0340991609826893,0.27985128595222375,0.021964454390540764,0.03663676175302312,-0.10708117009580513,-0.3243097806369768,0.019092798040296344,1.0,0.0782687481958849,0.13368462513218732
tempo,0.013211888443029934,0.02435622061990152,-0.05044816605877675,0.2478519907462884,0.010914386470065358,0.21244735832885536,0.0005718670406741842,0.0172743352404111,-0.2082309388837001,-0.050328184188697146,0.0006032361179092793,0.0782687481958849,1.0,0.06664013407752918
time_signature,0.031075967793415274,0.01822911921317496,0.20721902810732595,0.18712661152663912,0.01506405502742526,0.19199242221500684,-0.024089879252211007,-1.0676654784900517e-05,-0.1761415032197091,-0.0825795343381348,-0.02364920069108755,0.13368462513218732,0.06664013407752918,1.0
